filename,shot,source_url,publication,date,rights_holder,licence,retrieved
HO01_15_DOC_estrada-cover.jpg,15,https://archive.org/details/marasabinaherl00estr,"Alvaro Estrada, 'Maria Sabina: Her Life and Chants' (Ross-Erikson, 1981; translation Henry Munn) of 'Vida de Maria Sabina' (Siglo XXI, 1977); her words about the foreigners go in verbatim from the book",1977 / 1981,Siglo XXI Editores / Ross-Erikson; Alvaro Estrada,in copyright; short verbatim quotation with attribution; cover shown small as the source,"NEEDS_MANUAL: archive.org blocked from the build container; borrow the 1981 edition, photograph the cover and the page, copy the passage exactly"
HO01_04_SAT_huautla_%05d.png,04,https://earth.google.com/studio/,"Google Earth Studio, satellite zoom on Huautla de Jimenez (18.1308 N, 96.8431 W), 60 fps frame sequence at 2160x3840",2026,Google and its imagery providers,Google Earth Studio terms; on-screen attribution required,"NEEDS_MANUAL: interactive tool, cannot run from the build container"
HO01_05_STOCK_drone.mp4,05,https://www.pexels.com/search/videos/oaxaca%20mountains/,"Stock drone: Pexels (free licence), Artgrid https://artgrid.io , Storyblocks https://www.storyblocks.com ; search 'Sierra Mazateca drone', 'Huautla de Jimenez aerial', 'Oaxaca cloud forest drone'",2018-2026,per clip,Pexels licence / Artgrid / Storyblocks subscription,NEEDS_MANUAL: stock sites blocked from the build container
HO01_17_DOC_screenshot-01.png,17,manual: public vendor listings and forum threads that use the strain name,"public vendor listings, forum threads, grow logs (retina screenshots)",2021-2026,respective sites,"screenshots for commentary; blur vendor names, prices and any species name before they enter the timeline; nothing of Hypha's or Jude's in frame",NEEDS_MANUAL: must be captured by hand; no search terms logged here by design
HO01_03_PHOTO_wasson.jpg,03,https://commons.wikimedia.org/w/index.php?search=R.+Gordon+Wasson&ns6=1,"Optional label insert: R. Gordon Wasson photographed by Allan B. Richardson, Mexico 1955 (a copy is on Wikimedia Commons; check the file's licence tag)",1955,Allan B. Richardson / as tagged on Commons,check the Commons file page before use,NEEDS_MANUAL
HO01_16_DOC_obituary.jpg,16,https://www.upi.com/Archives/1985/11/22/Mexicos-queen-of-hallucinogenic-mushrooms-dies-at-97/2265501483600/,"UPI wire obituary, 22 November 1985 ('died in her hospital bed Friday', Oaxaca IMSS hospital, age given as 97). No NYT or El Pais obituary surfaced in search; check ProQuest / El Pais hemeroteca by hand",1985-11-22,UPI,in copyright (text); brief on-screen excerpt,NEEDS_MANUAL: the NYT obituary was not found in search; UPI is the wire copy
HO01_02_MAP_start.png,02,https://cdn.openart.ai/openart-ai/production/2026-09/create-image/xumJl74OmZhkjs7V6H5y/image_1788571962436_f1e4db93_1788571964071_37aadb0c.png,"OpenArt pipeline section 6.1: Nano Banana Pro image2image, 16:9, 4K (5504x3072), historyId Lq2IzDydQO1wFBCxSY8D, candidate D",2026-09-05,Hypha (generated on the Hypha OpenArt account),OpenArt Pro plan terms,"GENERATED: in the OpenArt library; cdn.openart.ai blocked from the build container, pull with build/tools/fetch-assets.sh"
HO01_03_MAP_end.png,03,https://cdn.openart.ai/openart-ai/production/2026-09/create-image/xumJl74OmZhkjs7V6H5y/image_1788572260198_758e8d72_1788572261266_ff2675e4.png,"OpenArt pipeline section 6.2: Nano Banana Pro image2image, 16:9, 4K (5504x3072), historyId Vjj0MnwMAyeB5xJfZ4sG, candidate B",2026-09-05,Hypha,OpenArt Pro plan terms,GENERATED: in the OpenArt library; pull with build/tools/fetch-assets.sh; confirm zero text at 4K
HO01_02-03_MAP_zoom.mp4,02;03,https://cdn.openart.ai/openart-ai/production/2026-09/create-video/xumJl74OmZhkjs7V6H5y/02178860325454300000000000000000000ffffc0a89e23b4c315_1788603453771_0202c357.mp4,"OpenArt pipeline section 6.3: Seedance 2.0 image2video, 16:9, 4K, 6 s, no audio, historyId Q4tluhdUnLoln0exkPm4; output 1 = J5EnKJlGedqGPaP7yMIu (this URL), output 2 = JNFwHl3vUNgcbZDmAatC (see OPENART_LOG.csv)",2026-09-05,Hypha,OpenArt Pro plan terms,"GENERATED: two candidates in the OpenArt library; motion QA against 6.3 must be done in a viewer; fetch-assets.sh pulls output 1 under this name, rename if output 2 is the keeper"
HO01_03_MAP_end-labelled.png,03;04,https://cdn.openart.ai/openart-ai/production/2026-09/create-image/xumJl74OmZhkjs7V6H5y/image_1788603943865_44480b49_1788603944623_ff2bfa0e.png,"OpenArt: Nano Banana Pro image2image on the accepted end frame, labels HUAUTLA DE JIMENEZ / SIERRA MAZATECA / OAXACA (historyId ve00eL0C4nioQOpAjyEQ; second output BPdyw0ssyyiFVxPnyNXZ)",2026-09-05,Hypha (generated on the Hypha OpenArt account),OpenArt Pro plan terms,GENERATED: static use only; confirm spelling and accent at full size
HO01_02_MAP_start-labelled.png,02,https://cdn.openart.ai/openart-ai/production/2026-09/create-image/xumJl74OmZhkjs7V6H5y/image_1788603963315_97cb54a4_1788603963815_b3beaa0c.png,"OpenArt: Nano Banana Pro image2image on the accepted start frame, labels NEW YORK / MEXICO (historyId sDisSB6YOo5s1a8jucGZ; second output UYL6eM30PpRbzPNx2xiC)",2026-09-05,Hypha (generated on the Hypha OpenArt account),OpenArt Pro plan terms,GENERATED: static use only
HO01_02-03_MAP_zoom_labelled.mp4,02;03,built by build/tools/label-map.py from HO01_02-03_MAP_zoom.mp4,Deterministic label pass: JetBrains Mono labels tracked to the markers,2026-09-05,Hypha,own,BUILD LOCALLY: run label-map.py after fetch-assets.sh
HO01_05_PHOTO_village-panorama.jpg,05;14,http://mediateca.inah.gob.mx/repositorio/islandora/object/fotografia:354533,"INAH Mediateca, Coleccion Nacho Lopez, Reportaje No. 667: 'Poblado, panoramica' (Huautla de Jimenez from above, c.1975); a real still fallback for shot 05 if no drone clears, and a fourth option for shot 14",c.1975,INAH,INAH terms: non-commercial with attribution; commercial use needs an INAH licence,NEEDS_MANUAL
HO01_01_PHOTO_portrait-alt.jpg,01;14,https://mediateca.inah.gob.mx/islandora_74/islandora/object/fotografia:354539,"INAH Mediateca, Coleccion Nacho Lopez, Reportaje No. 667: a third portrait frame of Maria Sabina (archive title names what she is holding; do not use that title on screen)",c.1975,INAH,INAH terms: non-commercial with attribution; commercial use needs an INAH licence,NEEDS_MANUAL
HO01_12_DOC_search-index.txt,11;12;13,"https://mediateca.inah.gob.mx/repositorio/islandora/search/mods_originInfo_place_placeTerm_ms:%22Huautla%20de%20Jim%C3%A9nez,%20Oaxaca,%20M%C3%A9xico%22",INAH Mediateca place search: every photograph catalogued at Huautla de Jimenez (Nacho Lopez 1975 reportage and others); the pool for shots 11-14 alongside the HNDM press search,various,INAH,per object,NEEDS_MANUAL: browse and shortlist
